Category: All categories

Country,ramen: (2010)
Belgium,100
Singapore,66
Suriname,38
Grenada,37
Netherlands,37
St. Vincent & Grenadines,35
Guam,32
Dominica,32
Belize,28
Cameroon,27
Zambia,21
Guyana,18
Mongolia,17
United States,17
Brunei,16
Mauritius,16
Myanmar (Burma),15
Aruba,15
Réunion,14
Hong Kong,14
Philippines,13
Afghanistan,12
Canada,11
Indonesia,11
Iraq,11
Cayman Islands,10
Bermuda,10
Australia,10
Bahamas,10
Angola,9
French Polynesia,9
Malaysia,8
Thailand,8
Czechia,7
Martinique,7
Sweden,7
Barbados,7
Spain,6
New Zealand,6
Luxembourg,6
Paraguay,5
South Korea,5
Macao,5
Albania,5
Chile,5
Trinidad & Tobago,5
Puerto Rico,5
Lebanon,4
Costa Rica,4
Nicaragua,4
Mexico,4
Estonia,4
Hungary,4
Jamaica,4
Azerbaijan,4
Norway,4
Iceland,4
Japan,4
Honduras,4
Sri Lanka,4
Ethiopia,4
North Macedonia,3
Ireland,3
Senegal,3
Switzerland,3
United Kingdom,3
Austria,3
Ecuador,3
Bahrain,3
Guatemala,3
Germany,3
Kazakhstan,3
Peru,3
France,3
Denmark,3
Portugal,3
Palestine,3
Italy,3
Lithuania,3
Oman,3
Venezuela,3
United Arab Emirates,3
Malta,3
Colombia,3
Finland,2
Taiwan,2
South Africa,2
Slovenia,2
Cyprus,2
Poland,2
Belarus,2
Bangladesh,2
Syria,2
Argentina,2
Bolivia,2
Qatar,2
India,2
Panama,2
Dominican Republic,2
Latvia,2
Nigeria,2
Slovakia,2
Pakistan,2
Saudi Arabia,2
Kuwait,2
Croatia,2
Israel,2
El Salvador,1
Uruguay,1
Turkey,1
Kenya,1
Bulgaria,1
Vietnam,1
Algeria,1
Romania,1
Morocco,1
Greece,1
Jordan,1
Bosnia & Herzegovina,1
Russia,1
Serbia,1
Iran,1
Brazil,1
Ukraine,1
Tunisia,1
Egypt,1
China,1
Kiribati,
Anguilla,
St. Kitts & Nevis,
Greenland,
Mauritania,
Gabon,
U.S. Virgin Islands,
Burkina Faso,
Antigua & Barbuda,
Gibraltar,
Fiji,
Haiti,
Rwanda,
Zimbabwe,
Monaco,
Cuba,
Åland Islands,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Burundi,
Benin,
Caribbean Netherlands,
St. Barthélemy,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Côte d’Ivoire,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Curaçao,
Christmas Island,
Djibouti,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Georgia,
Guernsey,
Ghana,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
French Guiana,
Heard & McDonald Islands,
Isle of Man,
British Indian Ocean Territory,
Jersey,
Kyrgyzstan,
Cambodia,
Laos,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Lesotho,
St. Martin,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Mali,
Montenegro,
Northern Mariana Islands,
Mozambique,
Montserrat,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Niue,
Nepal,
Nauru,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Sudan,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Eswatini,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uzbekistan,
Vatican City,
British Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
