Category: All categories

Country,ramen: (2015)
Singapore,100
Belgium,74
Guam,64
Philippines,39
Netherlands,36
United States,33
Canada,30
Indonesia,26
Australia,25
Ireland,24
Hong Kong,20
Brunei,18
Suriname,18
Grenada,18
Malaysia,18
Northern Mariana Islands,17
Curaçao,16
New Zealand,16
Aruba,15
Dominica,14
Iceland,14
Bahamas,12
Albania,12
St. Lucia,11
Barbados,11
Bhutan,10
Trinidad & Tobago,10
Mongolia,10
Mauritius,10
Belize,10
Bermuda,10
Czechia,9
Cayman Islands,9
Luxembourg,9
Sweden,9
Thailand,9
Faroe Islands,8
Spain,8
Guyana,8
Malta,8
Jersey,8
Cambodia,8
United Kingdom,8
Åland Islands,7
North Macedonia,7
Puerto Rico,7
Switzerland,7
St. Vincent & Grenadines,7
St. Helena,7
Finland,6
Italy,6
Jamaica,6
Norway,6
United Arab Emirates,6
Myanmar (Burma),6
South Korea,6
Denmark,6
Estonia,6
Mexico,6
Costa Rica,5
Macao,5
Japan,5
Qatar,5
Réunion,5
Peru,5
Chile,5
Germany,5
Cyprus,5
Austria,5
China,5
Slovenia,5
Afghanistan,5
Vietnam,5
Hungary,5
Colombia,5
French Polynesia,5
Bahrain,4
Sri Lanka,4
Poland,4
Panama,4
Madagascar,4
Nicaragua,4
France,4
Kuwait,4
Paraguay,4
Maldives,4
Nepal,4
Lithuania,3
Portugal,3
El Salvador,3
Bolivia,3
South Africa,3
New Caledonia,3
Uruguay,3
Andorra,3
Saudi Arabia,3
Argentina,3
Honduras,3
Dominican Republic,3
Lebanon,3
Kosovo,3
Ecuador,3
Romania,3
Venezuela,3
Croatia,2
Guatemala,2
Turkey,2
India,2
Bangladesh,2
Latvia,2
Taiwan,2
Georgia,2
Israel,2
Oman,2
Jordan,2
Slovakia,2
Serbia,2
Morocco,2
Pakistan,2
Bulgaria,2
Cameroon,2
Egypt,2
Tunisia,2
Martinique,2
Uganda,2
Greece,2
Bosnia & Herzegovina,1
Côte d’Ivoire,1
Laos,1
Kyrgyzstan,1
Algeria,1
Ghana,1
Kenya,1
Iraq,1
Montenegro,1
Senegal,1
Ethiopia,1
Azerbaijan,1
Zambia,1
Nigeria,1
Moldova,1
Brazil,1
Palestine,1
Syria,1
Kazakhstan,1
Armenia,1
Iran,1
Uzbekistan,1
Tanzania,1
Sudan,1
Angola,<1
Ukraine,<1
Russia,<1
Belarus,<1
Micronesia,
Cook Islands,
Marshall Islands,
Comoros,
Caribbean Netherlands,
Solomon Islands,
Turks & Caicos Islands,
Anguilla,
Antigua & Barbuda,
U.S. Virgin Islands,
Sint Maarten,
St. Martin,
St. Kitts & Nevis,
Liechtenstein,
Chad,
Greenland,
San Marino,
Seychelles,
Fiji,
Isle of Man,
Niger,
Gibraltar,
Mayotte,
Cuba,
Timor-Leste,
Monaco,
Togo,
Botswana,
Haiti,
French Guiana,
Cape Verde,
Gabon,
Guernsey,
Guadeloupe,
Liberia,
Papua New Guinea,
Rwanda,
Namibia,
Benin,
Mauritania,
Turkmenistan,
Guinea,
Zimbabwe,
Burkina Faso,
Malawi,
Mali,
Congo - Kinshasa,
Tajikistan,
Libya,
Mozambique,
Yemen,
American Samoa,
Antarctica,
French Southern Territories,
Burundi,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Brazzaville,
Christmas Island,
Djibouti,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
Lesotho,
Montserrat,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Sierra Leone,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Eswatini,
Tokelau,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
British Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
