Category: All categories

Country,kawaii: (2010)
Guam,
Philippines,100
Brunei,
Laos,
French Polynesia,
Singapore,67
Martinique,
Kyrgyzstan,
Japan,54
Thailand,54
Malaysia,50
Madagascar,
Macao,
Réunion,
Iraq,
Hong Kong,44
Sweden,42
Cayman Islands,
El Salvador,
New Caledonia,
Costa Rica,37
Mexico,36
Nicaragua,
Chile,32
Paraguay,
Uzbekistan,
Mongolia,
Puerto Rico,26
Australia,24
Canada,24
Kazakhstan,
Peru,24
Guatemala,
Honduras,
France,22
Bolivia,
Cuba,
Panama,
United States,21
Myanmar (Burma),
Indonesia,21
Estonia,21
Georgia,
Azerbaijan,
Trinidad & Tobago,
Dominican Republic,
Norway,18
Russia,18
Finland,18
Taiwan,18
Bahrain,
New Zealand,18
Lithuania,16
Venezuela,14
Brazil,14
North Macedonia,
Algeria,
South Korea,14
Italy,14
United Arab Emirates,13
Senegal,
United Kingdom,13
Latvia,
Iceland,
Netherlands,13
Ghana,
Denmark,13
Spain,13
Jamaica,
Qatar,
Hungary,11
Argentina,11
Poland,11
Belarus,
Uruguay,
Belgium,9
Colombia,9
Germany,9
Czechia,9
Switzerland,9
Cyprus,
Portugal,8
Vietnam,8
Ireland,8
Bangladesh,
Ukraine,8
Malta,
Slovenia,
Lebanon,
Sri Lanka,
Ecuador,
Israel,6
Austria,6
Bulgaria,
Jordan,
Luxembourg,
Palestine,
Morocco,6
Oman,
Syria,
Pakistan,
Nigeria,
Tunisia,
Saudi Arabia,
Serbia,
Bosnia & Herzegovina,
Kuwait,
Greece,
China,3
Slovakia,
Croatia,
Romania,
Iran,
South Africa,
India,1
Turkey,1
Egypt,
Dominica,
Northern Mariana Islands,
Fiji,
Aruba,
Antigua & Barbuda,
Monaco,
Barbados,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahamas,
St. Barthélemy,
Belize,
Bermuda,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Curaçao,
Christmas Island,
Djibouti,
Eritrea,
Western Sahara,
Ethiopia,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
French Guiana,
Guyana,
Heard & McDonald Islands,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Jersey,
Kenya,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Lesotho,
St. Martin,
Moldova,
Maldives,
Marshall Islands,
Mali,
Montenegro,
Mozambique,
Mauritania,
Montserrat,
Mauritius,
Malawi,
Mayotte,
Namibia,
Niger,
Norfolk Island,
Niue,
Nepal,
Nauru,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Rwanda,
Sudan,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Eswatini,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
