Category: All categories

Country,ramen: (2014)
Singapore,100
Belgium,72
Philippines,51
Guam,50
Netherlands,32
Northern Mariana Islands,30
United States,29
Canada,22
Hong Kong,21
Indonesia,20
Australia,20
Grenada,18
Suriname,17
Ireland,16
Curaçao,16
Malaysia,15
Aruba,15
Belize,13
Bahamas,12
New Zealand,12
Brunei,12
St. Lucia,12
Trinidad & Tobago,11
Mauritius,11
Dominica,11
Mongolia,11
Andorra,10
Thailand,10
Barbados,9
St. Vincent & Grenadines,9
Maldives,9
Czechia,9
Bermuda,9
Macao,8
Guyana,8
Cayman Islands,8
Åland Islands,8
Cambodia,8
Albania,8
French Polynesia,8
Jamaica,8
Iceland,7
Réunion,7
Spain,6
Sweden,6
Faroe Islands,6
Italy,6
Luxembourg,6
United Kingdom,6
Estonia,6
Puerto Rico,6
Madagascar,6
Bahrain,6
Bhutan,6
South Korea,6
Saudi Arabia,5
Afghanistan,5
United Arab Emirates,5
St. Helena,5
Peru,5
Qatar,5
Chile,5
Jersey,5
North Macedonia,5
Switzerland,5
Slovenia,5
Kuwait,4
Malta,4
Costa Rica,4
Mexico,4
Norway,4
Germany,4
Austria,4
Hungary,4
Japan,4
France,4
Panama,4
Sri Lanka,4
Myanmar (Burma),3
Finland,3
Kosovo,3
Denmark,3
Paraguay,3
Vietnam,3
Poland,3
Colombia,3
Dominican Republic,3
South Africa,3
Nicaragua,3
Uruguay,3
Turkey,3
Portugal,3
Ecuador,3
Guatemala,3
Honduras,3
Tunisia,3
Romania,3
Oman,3
Cyprus,3
Venezuela,3
El Salvador,2
Egypt,2
Nepal,2
Taiwan,2
Bolivia,2
Argentina,2
China,2
Lebanon,2
Martinique,2
Jordan,2
Slovakia,2
Israel,2
Latvia,2
Lithuania,2
Palestine,2
Georgia,2
Croatia,2
Ethiopia,2
Pakistan,2
Serbia,2
Morocco,2
Algeria,2
Syria,2
New Caledonia,2
Bosnia & Herzegovina,1
Bulgaria,1
Laos,1
Greece,1
Bangladesh,1
India,1
Kenya,1
Kyrgyzstan,1
Nigeria,1
Armenia,1
Iraq,1
Montenegro,1
Ghana,1
Angola,1
Côte d’Ivoire,1
Zambia,1
Cameroon,1
Kazakhstan,1
Uganda,1
Brazil,1
Sudan,1
Moldova,1
Tanzania,1
Uzbekistan,1
Senegal,<1
Azerbaijan,<1
Iran,<1
Russia,<1
Ukraine,<1
Belarus,<1
Micronesia,
Montserrat,
Cook Islands,
Marshall Islands,
American Samoa,
Caribbean Netherlands,
San Marino,
Comoros,
Anguilla,
St. Martin,
Turks & Caicos Islands,
Gibraltar,
U.S. Virgin Islands,
Sint Maarten,
Liechtenstein,
Monaco,
Guernsey,
St. Kitts & Nevis,
Mayotte,
Seychelles,
South Sudan,
Burundi,
Lesotho,
Antigua & Barbuda,
Cuba,
Djibouti,
Botswana,
Isle of Man,
Turkmenistan,
Niger,
Togo,
Cape Verde,
Rwanda,
Congo - Brazzaville,
Benin,
French Guiana,
Namibia,
Malawi,
Papua New Guinea,
Gabon,
Guadeloupe,
Haiti,
Mauritania,
Fiji,
Guinea,
Burkina Faso,
Congo - Kinshasa,
Zimbabwe,
Libya,
Yemen,
Mozambique,
Antarctica,
French Southern Territories,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Christmas Island,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Greenland,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
Liberia,
Mali,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Somalia,
St. Pierre & Miquelon,
São Tomé & Príncipe,
Eswatini,
Chad,
Tajikistan,
Tokelau,
Timor-Leste,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
British Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
