Category: All categories

Country,kawaii: (2012)
Guam,
Philippines,100
Singapore,69
Brunei,
Chile,59
Thailand,59
French Polynesia,
Malaysia,50
Cambodia,
Mexico,48
Japan,48
Hong Kong,45
Puerto Rico,45
Cayman Islands,
Canada,40
Australia,40
New Zealand,40
United States,40
Macao,
Sweden,38
El Salvador,38
Costa Rica,38
Laos,
Réunion,
Honduras,
Nicaragua,
Trinidad & Tobago,
Bolivia,
Mongolia,
Isle of Man,
Iceland,
Indonesia,30
Martinique,
Guadeloupe,
French Guiana,
Peru,27
Paraguay,
New Caledonia,
Panama,
France,24
Guatemala,24
Norway,24
Jersey,
Brazil,22
Andorra,
Uruguay,
Venezuela,20
Argentina,20
Mauritius,
United Kingdom,19
Spain,19
Finland,19
Colombia,17
Ecuador,17
Bahrain,
Denmark,17
Jamaica,
Estonia,
Bahamas,
Nepal,
Dominican Republic,16
Kuwait,
Maldives,
Netherlands,14
Italy,14
Ireland,14
United Arab Emirates,14
Hungary,14
Poland,14
Tunisia,
Taiwan,14
Portugal,14
Belgium,12
South Korea,12
Montenegro,
Madagascar,
Lithuania,
Qatar,
Russia,11
Myanmar (Burma),
Latvia,
Switzerland,11
Kyrgyzstan,
Slovenia,
Austria,9
Germany,9
Vietnam,9
Czechia,9
Côte d’Ivoire,
Malta,
Croatia,
Cyprus,
Saudi Arabia,8
Algeria,
Morocco,8
Bulgaria,
Israel,8
Luxembourg,
Serbia,
Albania,
Oman,
Lebanon,
Slovakia,
Romania,6
Moldova,
Bangladesh,
Bosnia & Herzegovina,
Belarus,
Greece,
Sri Lanka,
Kazakhstan,
South Africa,
Senegal,
Ukraine,4
Georgia,
North Macedonia,
Armenia,
Pakistan,
Azerbaijan,
Syria,
Ghana,
China,3
Iraq,
Palestine,
Libya,
Kenya,
Jordan,
Iran,
India,1
Egypt,
Turkey,1
Nigeria,
Curaçao,
St. Lucia,
Northern Mariana Islands,
Antigua & Barbuda,
Anguilla,
U.S. Virgin Islands,
Bhutan,
Faroe Islands,
Åland Islands,
Gibraltar,
Dominica,
Monaco,
Djibouti,
Togo,
Bermuda,
St. Vincent & Grenadines,
Belize,
Aruba,
Barbados,
Suriname,
Guernsey,
Botswana,
Namibia,
Haiti,
Mozambique,
Ethiopia,
Zimbabwe,
Tanzania,
Yemen,
Sudan,
Afghanistan,
Angola,
American Samoa,
Antarctica,
French Southern Territories,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Christmas Island,
Eritrea,
Western Sahara,
Fiji,
Falkland Islands (Islas Malvinas),
Micronesia,
Gabon,
Guinea,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guyana,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St. Kitts & Nevis,
Liberia,
Liechtenstein,
Lesotho,
St. Martin,
Marshall Islands,
Mali,
Mauritania,
Montserrat,
Malawi,
Mayotte,
Niger,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Rwanda,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Eswatini,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Chad,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
Uganda,
U.S. Outlying Islands,
Uzbekistan,
Vatican City,
British Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Zambia,
