Category: All categories

Country,ramen: (2006)
Dominica,100
Suriname,78
Belgium,71
Guam,65
Aruba,36
Maldives,35
Madagascar,35
Netherlands,28
Andorra,24
French Polynesia,23
Tanzania,22
Barbados,22
Iraq,21
Singapore,17
Mauritius,16
Macao,16
Réunion,13
North Macedonia,12
United States,9
Paraguay,8
Jamaica,7
Lebanon,7
Oman,6
Hong Kong,5
Malta,5
Nigeria,5
Tunisia,5
Costa Rica,5
Sweden,4
Philippines,4
Malaysia,4
Jordan,4
Thailand,4
Canada,4
South Korea,4
Puerto Rico,4
Australia,4
Indonesia,4
Ecuador,3
Panama,3
Norway,3
Serbia,3
Czechia,3
El Salvador,3
Guatemala,3
Kuwait,3
United Kingdom,3
Luxembourg,2
Ireland,2
Estonia,2
Germany,2
Algeria,2
Finland,2
Uruguay,2
Austria,2
Dominican Republic,2
Greece,2
Iran,2
Morocco,2
New Zealand,2
Vietnam,2
Croatia,2
South Africa,2
Latvia,2
Japan,2
Switzerland,2
France,2
United Arab Emirates,2
Slovenia,2
Spain,1
Chile,1
Bulgaria,1
Hungary,1
Italy,1
Portugal,1
Russia,1
India,1
Mexico,1
Israel,1
Venezuela,1
Slovakia,1
Taiwan,1
Poland,1
Denmark,1
Colombia,1
Turkey,1
Peru,1
Romania,<1
Argentina,<1
Brazil,<1
China,<1
Niger,
Liechtenstein,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bangladesh,
Bahrain,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Bolivia,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Egypt,
Eritrea,
Western Sahara,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
French Guiana,
Guyana,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iceland,
Jersey,
Kazakhstan,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Laos,
Liberia,
Libya,
St. Lucia,
Sri Lanka,
Lesotho,
Lithuania,
St. Martin,
Monaco,
Moldova,
Marshall Islands,
Mali,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Norfolk Island,
Nicaragua,
Niue,
Nepal,
Nauru,
Pakistan,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Palestine,
Qatar,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tuvalu,
Uganda,
Ukraine,
U.S. Outlying Islands,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
