Category: All categories

Country,ramen: (2020)
Guam,100
Singapore,94
Belgium,63
Philippines,52
United States,51
Canada,50
Northern Mariana Islands,45
Ireland,42
Netherlands,40
Australia,38
Dominica,31
Sweden,28
New Zealand,27
Andorra,27
Grenada,26
Malaysia,26
Bhutan,26
Indonesia,24
Faroe Islands,23
Poland,22
Luxembourg,22
Iceland,21
Denmark,20
Åland Islands,19
Norway,19
Spain,18
Switzerland,18
Aruba,17
Austria,17
St. Vincent & Grenadines,17
Cayman Islands,17
New Caledonia,17
Brunei,17
Curaçao,16
United Kingdom,16
Suriname,16
Maldives,15
Trinidad & Tobago,15
Germany,15
Puerto Rico,15
Hong Kong,15
Mongolia,14
Barbados,14
Belize,14
Finland,14
Czechia,14
Mexico,14
Bermuda,13
Jersey,13
France,13
Chile,13
Malta,13
St. Helena,12
Panama,12
Portugal,12
Italy,12
Nepal,12
Estonia,11
Costa Rica,11
Macao,10
United Arab Emirates,10
Réunion,10
Mauritius,9
Myanmar (Burma),8
Lithuania,8
Jamaica,8
Guatemala,8
Bahamas,8
Colombia,8
Hungary,8
Guyana,8
Bahrain,8
Japan,8
Bolivia,7
Peru,7
St. Lucia,7
China,7
Albania,7
Thailand,7
Latvia,7
Slovenia,7
Cyprus,7
El Salvador,7
Slovakia,7
Ecuador,6
Paraguay,6
Cambodia,6
Madagascar,6
Laos,6
Dominican Republic,6
Uruguay,6
Argentina,5
Qatar,5
Nicaragua,5
Vietnam,5
South Africa,5
North Macedonia,5
Croatia,5
South Korea,5
Kuwait,4
Sri Lanka,4
Honduras,4
Romania,4
Lebanon,4
Israel,4
Georgia,4
Greece,3
Bangladesh,3
Taiwan,3
Kosovo,3
Serbia,3
Martinique,3
Cameroon,3
Bosnia & Herzegovina,3
Venezuela,3
Bulgaria,3
Oman,3
Pakistan,3
Afghanistan,2
Angola,2
Jordan,2
Kazakhstan,2
Armenia,2
Turkey,2
Tunisia,2
Azerbaijan,2
Morocco,2
Egypt,2
Moldova,2
Brazil,2
India,2
Saudi Arabia,2
Ghana,2
Kenya,2
Zambia,2
Côte d’Ivoire,1
Ethiopia,1
Senegal,1
Algeria,1
Montenegro,1
Uganda,1
Palestine,1
Russia,1
Kyrgyzstan,1
Ukraine,1
Tanzania,1
Nigeria,1
Uzbekistan,1
Iraq,1
Sudan,1
Syria,1
Belarus,1
Iran,<1
Montserrat,
Palau,
Marshall Islands,
Micronesia,
Caribbean Netherlands,
St. Martin,
Greenland,
Sint Maarten,
Vanuatu,
St. Kitts & Nevis,
Turks & Caicos Islands,
Mayotte,
British Virgin Islands,
U.S. Virgin Islands,
San Marino,
Isle of Man,
Seychelles,
Guernsey,
Antigua & Barbuda,
Liechtenstein,
French Guiana,
Niger,
Djibouti,
Fiji,
Chad,
Timor-Leste,
Gambia,
Liberia,
Gabon,
Eswatini,
Cape Verde,
Congo - Brazzaville,
Botswana,
Guadeloupe,
Benin,
Haiti,
Papua New Guinea,
Burkina Faso,
Malawi,
Turkmenistan,
Togo,
Somalia,
Mozambique,
Guinea,
Cuba,
Zimbabwe,
Namibia,
Yemen,
Congo - Kinshasa,
Anguilla,
American Samoa,
Antarctica,
French Southern Territories,
Burundi,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Christmas Island,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Gibraltar,
Guinea-Bissau,
Equatorial Guinea,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
Libya,
Lesotho,
Monaco,
Mali,
Mauritania,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
North Korea,
French Polynesia,
Rwanda,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Tajikistan,
Tokelau,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
Samoa,
