Category: All categories

Country,kawaii: (2019)
Guatemala,100
Venezuela,80
Chile,62
Bolivia,57
Mexico,57
Peru,56
El Salvador,55
Ecuador,50
Uruguay,47
Colombia,44
Argentina,43
Costa Rica,41
Honduras,39
Nicaragua,37
Paraguay,32
Spain,31
Réunion,
Andorra,
New Caledonia,
Panama,28
France,25
Puerto Rico,23
French Polynesia,
French Guiana,
Guam,
Martinique,
Guadeloupe,
Dominican Republic,18
Brazil,18
Philippines,14
Maldives,
Italy,13
Brunei,
Madagascar,
Cuba,
Canada,12
Portugal,12
Finland,12
Switzerland,11
New Zealand,11
Australia,11
United States,11
Mauritius,
Isle of Man,
Sweden,10
Belgium,10
Luxembourg,
Myanmar (Burma),
Netherlands,9
Cayman Islands,
Iceland,
Singapore,8
Norway,8
Denmark,8
Malaysia,7
Gabon,
Mongolia,
Austria,6
Poland,6
Hong Kong,6
United Kingdom,6
Indonesia,6
Macao,
Malta,
Trinidad & Tobago,
Germany,6
Thailand,5
Moldova,
United Arab Emirates,5
Estonia,
Morocco,5
Cambodia,
Angola,
Ireland,5
Jamaica,
Algeria,
Qatar,
Bahrain,
Lebanon,
Japan,4
Vietnam,4
Tunisia,
Nepal,
Jersey,
St. Helena,
Senegal,
Lithuania,
Czechia,4
Hungary,4
Romania,4
Latvia,
China,
Bosnia & Herzegovina,
Cyprus,
Turkey,3
Laos,
Albania,
Croatia,
North Macedonia,
Kosovo,
Slovenia,
Kuwait,
Azerbaijan,
South Africa,3
Côte d’Ivoire,
Oman,
Bahamas,
Georgia,
Serbia,
Slovakia,
Armenia,
Montenegro,
Israel,
Greece,
Iraq,
South Korea,2
Bulgaria,
Libya,
Cameroon,
Bangladesh,
Kazakhstan,
Saudi Arabia,
Pakistan,
Jordan,
Sri Lanka,
Belarus,
Russia,2
Egypt,
Taiwan,
Ukraine,1
Kyrgyzstan,
Syria,
Ghana,
Uzbekistan,
Palestine,
India,1
Iran,
Kenya,
Nigeria,
Montserrat,
Svalbard & Jan Mayen,
Northern Mariana Islands,
Marshall Islands,
St. Pierre & Miquelon,
Micronesia,
Samoa,
Comoros,
British Virgin Islands,
Mayotte,
St. Martin,
Åland Islands,
American Samoa,
Solomon Islands,
St. Barthélemy,
Monaco,
San Marino,
Vanuatu,
Aruba,
Greenland,
Gibraltar,
Seychelles,
St. Kitts & Nevis,
Turks & Caicos Islands,
Bermuda,
Djibouti,
Sint Maarten,
Bhutan,
Dominica,
U.S. Virgin Islands,
Grenada,
Antigua & Barbuda,
Cape Verde,
Belize,
Western Sahara,
St. Lucia,
Guernsey,
Barbados,
Congo - Brazzaville,
Faroe Islands,
St. Vincent & Grenadines,
Suriname,
Curaçao,
Niger,
Liechtenstein,
Benin,
Timor-Leste,
Papua New Guinea,
Liberia,
Mozambique,
Togo,
Botswana,
Gambia,
Fiji,
Namibia,
Guyana,
Lesotho,
Eswatini,
Mali,
Turkmenistan,
Guinea,
Sudan,
Somalia,
Sierra Leone,
Haiti,
Mauritania,
Malawi,
Afghanistan,
Zimbabwe,
Zambia,
Rwanda,
Yemen,
Congo - Kinshasa,
Tajikistan,
Burkina Faso,
Ethiopia,
Uganda,
Tanzania,
Anguilla,
Antarctica,
French Southern Territories,
Burundi,
Caribbean Netherlands,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cook Islands,
Christmas Island,
Eritrea,
Falkland Islands (Islas Malvinas),
Guinea-Bissau,
Equatorial Guinea,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia & South Sandwich Islands,
South Sudan,
São Tomé & Príncipe,
Chad,
Tokelau,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
