Category: All categories

Country,emoji: (2009)
Suriname,100
Uzbekistan,27
Guam,26
Barbados,24
Honduras,11
Moldova,10
Puerto Rico,9
Hong Kong,8
Iceland,6
Latvia,6
Luxembourg,5
Syria,5
Bahrain,5
South Korea,5
Singapore,5
Costa Rica,4
Bolivia,4
Uruguay,3
Japan,3
United States,3
Kuwait,2
Malaysia,2
Norway,2
United Arab Emirates,2
Pakistan,2
Switzerland,2
Taiwan,2
Australia,2
Canada,1
Thailand,1
Ireland,1
Czechia,1
New Zealand,1
Philippines,1
Sweden,1
Slovenia,1
Saudi Arabia,1
Romania,1
Croatia,1
Portugal,1
Ukraine,1
Russia,1
Netherlands,1
United Kingdom,1
Israel,1
Slovakia,1
Lithuania,1
Denmark,1
Greece,1
South Africa,1
Indonesia,1
Vietnam,1
Mexico,1
Germany,1
Italy,1
France,1
Chile,1
Belgium,1
Venezuela,1
India,1
Peru,<1
China,<1
Argentina,<1
Austria,<1
Finland,<1
Hungary,<1
Colombia,<1
Spain,<1
Brazil,<1
Poland,<1
Turkey,<1
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bangladesh,
Bulgaria,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Dominica,
Dominican Republic,
Algeria,
Ecuador,
Egypt,
Eritrea,
Western Sahara,
Estonia,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guyana,
Heard & McDonald Islands,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iraq,
Jamaica,
Jersey,
Jordan,
Kazakhstan,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Laos,
Lebanon,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Macao,
St. Martin,
Morocco,
Monaco,
Madagascar,
Maldives,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Nepal,
Nauru,
Oman,
Panama,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Serbia,
South Sudan,
São Tomé & Príncipe,
Eswatini,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
