Category: All categories

Country,ramen: (2018)
Singapore,100
Guam,77
Belgium,57
Philippines,48
Northern Mariana Islands,47
Canada,41
United States,40
Ireland,39
Australia,36
Netherlands,35
Malaysia,27
New Zealand,23
Iceland,21
Indonesia,20
Brunei,20
Sweden,18
Hong Kong,18
Åland Islands,17
Grenada,15
Denmark,15
Norway,15
Curaçao,15
Faroe Islands,14
Luxembourg,14
Bermuda,13
Switzerland,13
Spain,13
Belize,13
Suriname,12
Malta,12
Dominica,12
Poland,11
Trinidad & Tobago,11
Cayman Islands,11
United Kingdom,11
Mexico,11
Mongolia,11
Czechia,11
Austria,10
Puerto Rico,10
Panama,10
Mauritius,9
Costa Rica,9
Aruba,9
Chile,9
St. Helena,9
Germany,9
Myanmar (Burma),9
Nepal,9
Japan,8
Guyana,8
Finland,8
Bhutan,8
Italy,8
Bahamas,8
Estonia,8
France,8
Thailand,8
Albania,8
United Arab Emirates,8
St. Vincent & Grenadines,8
Macao,8
Andorra,8
Portugal,8
China,8
French Polynesia,7
Maldives,7
Slovenia,7
Cambodia,6
Peru,6
Jersey,6
Jamaica,6
South Korea,6
Barbados,6
Qatar,6
Paraguay,6
Hungary,6
Lithuania,5
Réunion,5
Colombia,5
Bahrain,5
Slovakia,5
Guatemala,5
Ecuador,5
El Salvador,5
South Africa,4
Argentina,4
Honduras,4
Bolivia,4
Cyprus,4
Martinique,4
Kuwait,4
Vietnam,4
Uruguay,4
New Caledonia,4
North Macedonia,4
Latvia,4
Laos,4
Sri Lanka,4
Lebanon,4
Croatia,4
Nicaragua,4
Israel,3
Romania,3
Dominican Republic,3
Georgia,3
Taiwan,3
Madagascar,3
Afghanistan,3
Bangladesh,3
Serbia,2
Oman,2
Kosovo,2
India,2
Pakistan,2
St. Lucia,2
Greece,2
Turkey,2
Bulgaria,2
Jordan,2
Montenegro,2
Moldova,2
Venezuela,2
Saudi Arabia,2
Ghana,2
Kazakhstan,2
Bosnia & Herzegovina,1
Palestine,1
Morocco,1
Angola,1
Brazil,1
Azerbaijan,1
Egypt,1
Tunisia,1
Uganda,1
Kyrgyzstan,1
Senegal,1
Kenya,1
Algeria,1
Armenia,1
Côte d’Ivoire,1
Tanzania,1
Nigeria,1
Uzbekistan,1
Belarus,1
Ukraine,1
Iraq,1
Zambia,1
Russia,1
Ethiopia,1
Syria,1
Cameroon,<1
Sudan,<1
Iran,<1
Micronesia,
Falkland Islands (Islas Malvinas),
Montserrat,
Anguilla,
Marshall Islands,
Svalbard & Jan Mayen,
Palau,
American Samoa,
St. Pierre & Miquelon,
Tonga,
Sint Maarten,
Turks & Caicos Islands,
Caribbean Netherlands,
San Marino,
Greenland,
St. Kitts & Nevis,
Monaco,
Comoros,
Gibraltar,
Vanuatu,
British Virgin Islands,
Samoa,
Guernsey,
Solomon Islands,
Isle of Man,
Equatorial Guinea,
U.S. Virgin Islands,
Liechtenstein,
Seychelles,
St. Barthélemy,
Djibouti,
French Guiana,
Mayotte,
Haiti,
Fiji,
Liberia,
Lesotho,
Antigua & Barbuda,
Papua New Guinea,
Chad,
Guadeloupe,
Togo,
Sierra Leone,
Western Sahara,
Namibia,
Niger,
Gambia,
Congo - Brazzaville,
Cuba,
South Sudan,
Botswana,
Rwanda,
Eswatini,
Benin,
Mauritania,
Cape Verde,
Turkmenistan,
Zimbabwe,
Mali,
Gabon,
Congo - Kinshasa,
Somalia,
Guinea,
Mozambique,
Burkina Faso,
Libya,
Yemen,
Tajikistan,
Antarctica,
French Southern Territories,
Burundi,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cook Islands,
Christmas Island,
Eritrea,
Guinea-Bissau,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St. Martin,
Malawi,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
North Korea,
South Georgia & South Sandwich Islands,
São Tomé & Príncipe,
Tokelau,
Timor-Leste,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
