Category: All categories

Country,kawaii: (2006)
Brunei,
Guam,
Nepal,
New Caledonia,
Libya,100
Mauritius,
Belarus,73
Moldova,
Qatar,
Hong Kong,54
Réunion,
Philippines,50
Singapore,50
Malaysia,36
Thailand,30
Puerto Rico,30
Malta,
Estonia,
Iceland,
Vietnam,26
Uruguay,23
Finland,23
Bahrain,
Slovenia,
Indonesia,21
Poland,21
Panama,
Costa Rica,
Sweden,19
Russia,19
Canada,17
United States,17
United Arab Emirates,17
El Salvador,
France,15
Chile,15
Kuwait,15
Japan,15
Australia,13
Hungary,13
Brazil,13
New Zealand,13
Norway,13
Mexico,10
Peru,10
Ecuador,
Latvia,
Netherlands,8
Lithuania,8
Serbia,
Italy,8
United Kingdom,8
Taiwan,6
South Korea,
South Africa,6
Portugal,6
Spain,6
Argentina,6
Switzerland,6
Czechia,6
Greece,6
Belgium,4
Ireland,4
Ukraine,
Israel,4
Croatia,
Germany,4
Egypt,
Bulgaria,4
Denmark,4
Venezuela,4
Austria,4
Morocco,
Saudi Arabia,
Romania,2
Colombia,2
China,2
Turkey,2
India,2
Greenland,
Guyana,
St. Lucia,
U.S. Virgin Islands,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bangladesh,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belize,
Bermuda,
Bolivia,
Barbados,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Dominica,
Dominican Republic,
Algeria,
Eritrea,
Western Sahara,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Guatemala,
French Guiana,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iraq,
Jamaica,
Jersey,
Jordan,
Kazakhstan,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Laos,
Lebanon,
Liberia,
Liechtenstein,
Sri Lanka,
Lesotho,
Luxembourg,
Macao,
St. Martin,
Monaco,
Madagascar,
Maldives,
Marshall Islands,
North Macedonia,
Mali,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Malawi,
Mayotte,
Namibia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Nauru,
Oman,
Pakistan,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
