Category: All categories

Country,kawaii: (2007)
Brunei,
Guam,
Montenegro,
Guadeloupe,
Andorra,
New Caledonia,
Philippines,100
French Polynesia,
Singapore,91
Macao,
Bahamas,
Hong Kong,69
Japan,67
Malaysia,65
Paraguay,
Trinidad & Tobago,
Moldova,
Honduras,
Bangladesh,
Sweden,34
Qatar,
Taiwan,34
Oman,
Thailand,32
Estonia,
Finland,30
El Salvador,
France,28
Canada,28
Kenya,
Chile,26
Australia,26
United States,26
Indonesia,24
Belarus,
Guatemala,
Vietnam,22
Bolivia,
Mexico,20
New Zealand,20
Russia,20
South Korea,20
Latvia,
Algeria,
Costa Rica,18
Peru,18
Uruguay,
United Arab Emirates,18
Poland,18
Norway,18
Tunisia,
Brazil,16
Bahrain,
Puerto Rico,
Bosnia & Herzegovina,
Panama,
United Kingdom,12
Hungary,12
Italy,12
Venezuela,12
Portugal,12
Luxembourg,
Ecuador,
Belgium,12
Kuwait,
Switzerland,10
Czechia,
Serbia,
Croatia,
Spain,10
Argentina,10
Netherlands,10
Austria,8
Lithuania,
Ireland,8
Iran,
Slovenia,8
Pakistan,
Colombia,8
Germany,8
Denmark,6
Israel,
Ukraine,
Romania,6
Slovakia,
China,4
Greece,
Bulgaria,
Saudi Arabia,2
India,
South Africa,
Morocco,
Egypt,
Turkey,2
Guyana,
Congo - Kinshasa,
St. Lucia,
Afghanistan,
Aruba,
Yemen,
Angola,
Anguilla,
Åland Islands,
Albania,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
St. Barthélemy,
Belize,
Bermuda,
Barbados,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Côte d’Ivoire,
Cameroon,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Dominica,
Dominican Republic,
Eritrea,
Western Sahara,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
French Guiana,
Heard & McDonald Islands,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iraq,
Iceland,
Jamaica,
Jersey,
Jordan,
Kazakhstan,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Laos,
Lebanon,
Liberia,
Libya,
Liechtenstein,
Sri Lanka,
Lesotho,
St. Martin,
Monaco,
Madagascar,
Maldives,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
Namibia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Nepal,
Nauru,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Palestine,
Réunion,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Zambia,
Zimbabwe,
