Category: All categories

Country,ramen: (2009)
Belgium,100
Grenada,57
Singapore,52
Northern Mariana Islands,44
Netherlands,38
Guam,33
Maldives,23
Aruba,22
Belize,22
Faroe Islands,21
Montenegro,21
Kyrgyzstan,20
Cambodia,19
New Caledonia,17
Mongolia,17
United States,16
Afghanistan,16
Martinique,15
Brunei,14
Trinidad & Tobago,14
Philippines,13
French Polynesia,13
Albania,12
Andorra,11
Thailand,11
Hong Kong,10
Australia,10
Uzbekistan,10
Canada,10
North Macedonia,10
Malaysia,10
Tanzania,9
Cameroon,9
Indonesia,9
Barbados,9
Iraq,8
Georgia,8
Réunion,8
South Korea,8
Malta,8
Paraguay,7
Iceland,7
Jamaica,7
Bahamas,7
Luxembourg,7
Sweden,7
Czechia,7
Mauritius,6
Spain,6
Bangladesh,6
Sri Lanka,5
Chile,5
Estonia,5
Moldova,5
Hungary,4
Bahrain,4
New Zealand,4
Sudan,4
Nigeria,4
Mexico,4
Cyprus,4
Norway,4
Oman,4
Austria,4
Switzerland,4
Puerto Rico,4
United Kingdom,4
Bolivia,4
Japan,4
Finland,4
Panama,4
United Arab Emirates,4
Costa Rica,4
El Salvador,3
Germany,3
Azerbaijan,3
Portugal,3
Taiwan,3
Ireland,3
France,3
Guatemala,3
Italy,3
Poland,3
South Africa,3
Greece,3
Colombia,2
Serbia,2
Argentina,2
Vietnam,2
Kuwait,2
Denmark,2
Peru,2
Romania,2
Venezuela,2
Lebanon,2
Ecuador,2
Palestine,2
Israel,2
Lithuania,2
Bulgaria,2
Jordan,2
Bosnia & Herzegovina,2
Pakistan,2
India,2
Qatar,2
Dominican Republic,2
Syria,2
Uruguay,2
Slovenia,2
Belarus,2
Slovakia,2
Turkey,2
Saudi Arabia,1
Algeria,1
Croatia,1
Tunisia,1
Egypt,1
Iran,1
Morocco,1
Russia,1
Latvia,1
Brazil,1
Ukraine,<1
China,<1
Vanuatu,
Anguilla,
Congo - Kinshasa,
Benin,
San Marino,
Liechtenstein,
Cuba,
Angola,
Åland Islands,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Burundi,
Caribbean Netherlands,
Burkina Faso,
St. Barthélemy,
Bermuda,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Côte d’Ivoire,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Curaçao,
Christmas Island,
Cayman Islands,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Micronesia,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Greenland,
French Guiana,
Guyana,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Jersey,
Kazakhstan,
Kenya,
Kiribati,
St. Kitts & Nevis,
Laos,
Liberia,
Libya,
St. Lucia,
Lesotho,
Macao,
St. Martin,
Monaco,
Madagascar,
Marshall Islands,
Mali,
Myanmar (Burma),
Mozambique,
Mauritania,
Montserrat,
Malawi,
Mayotte,
Namibia,
Niger,
Norfolk Island,
Nicaragua,
Niue,
Nepal,
Nauru,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Rwanda,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Eswatini,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
Uganda,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
