Category: All categories

Country,emoji: (2010)
Timor-Leste,
Northern Mariana Islands,
U.S. Virgin Islands,
Guam,100
Cambodia,
Monaco,
Macao,
New Caledonia,
Singapore,33
Réunion,
Iraq,
Brunei,
Trinidad & Tobago,
Hong Kong,22
Kuwait,11
Switzerland,11
Australia,11
Lebanon,
Luxembourg,
Ireland,11
United States,11
Cyprus,
Japan,11
Qatar,
Kenya,
Oman,
Bolivia,
Saudi Arabia,11
United Arab Emirates,11
Uruguay,
Puerto Rico,
Canada,<1
South Korea,<1
Philippines,<1
Thailand,<1
Taiwan,<1
Sweden,<1
United Kingdom,<1
France,<1
Dominican Republic,
Guatemala,
Malaysia,<1
Costa Rica,
Netherlands,<1
Israel,<1
Pakistan,
Lithuania,<1
Norway,<1
Latvia,
Ecuador,
South Africa,<1
Czechia,<1
Denmark,<1
Serbia,
Indonesia,<1
Germany,<1
New Zealand,<1
Belgium,<1
Austria,<1
Spain,<1
Iran,
Greece,<1
Italy,<1
Russia,<1
China,<1
Croatia,
Slovakia,
Mexico,<1
Morocco,
Hungary,<1
Portugal,<1
Finland,<1
Ukraine,
Romania,
Venezuela,
India,<1
Chile,<1
Colombia,
Argentina,<1
Brazil,<1
Egypt,
Poland,<1
Vietnam,
Peru,
Turkey,<1
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bangladesh,
Bulgaria,
Bahrain,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Barbados,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Djibouti,
Dominica,
Algeria,
Eritrea,
Western Sahara,
Estonia,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
French Guiana,
Guyana,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iceland,
Jamaica,
Jersey,
Jordan,
Kazakhstan,
Kyrgyzstan,
Kiribati,
St. Kitts & Nevis,
Laos,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
St. Martin,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
Namibia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Nepal,
Nauru,
Panama,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovenia,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Tonga,
Tunisia,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
