Category: All categories

Country,kawaii: (2008)
Kyrgyzstan,
Brunei,
Philippines,100
Guam,
Japan,82
Singapore,81
Côte d’Ivoire,
Guadeloupe,
Cayman Islands,
French Polynesia,
Maldives,
Hong Kong,65
Madagascar,
Macao,
Andorra,
Malaysia,58
Nepal,
Puerto Rico,45
Thailand,44
Honduras,
Taiwan,40
Bolivia,37
Sweden,33
Indonesia,32
Martinique,
El Salvador,
Iraq,
Chile,30
Finland,28
Estonia,27
Panama,
Australia,24
Mexico,23
Canada,23
Georgia,
Trinidad & Tobago,
Latvia,
Mauritius,
Bahrain,
France,20
United States,20
Senegal,
Iceland,
Costa Rica,
Peru,19
South Korea,18
Paraguay,
Russia,18
New Zealand,17
Bangladesh,
Lebanon,
Jamaica,
Venezuela,14
Norway,14
Italy,13
Qatar,
Malta,
Brazil,13
Hungary,12
Vietnam,12
Sri Lanka,
Uruguay,
United Kingdom,11
Syria,
United Arab Emirates,
Guatemala,
Cyprus,
Spain,11
Poland,11
Kuwait,
Luxembourg,
Netherlands,9
Belarus,
Belgium,9
Argentina,9
Jordan,
Ecuador,
Denmark,8
Lithuania,
Dominican Republic,
Czechia,
Algeria,
Slovenia,
Switzerland,7
South Africa,
Colombia,7
Portugal,7
Ireland,7
Germany,6
Morocco,6
Ukraine,
Iran,
Israel,4
China,4
Croatia,
Pakistan,
Austria,4
Slovakia,
Romania,3
Serbia,
Saudi Arabia,
Bulgaria,
Egypt,
Greece,
India,1
Turkey,1
Palau,
Northern Mariana Islands,
San Marino,
St. Lucia,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belize,
Bermuda,
Barbados,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
French Guiana,
Guyana,
Heard & McDonald Islands,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Jersey,
Kazakhstan,
Kenya,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Laos,
Liberia,
Libya,
Liechtenstein,
Lesotho,
St. Martin,
Monaco,
Moldova,
Marshall Islands,
North Macedonia,
Mali,
Myanmar (Burma),
Montenegro,
Mongolia,
Mozambique,
Mauritania,
Montserrat,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Nauru,
Oman,
Pitcairn Islands,
Papua New Guinea,
North Korea,
Palestine,
Réunion,
Rwanda,
Sudan,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Eswatini,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tunisia,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
