Category: All categories

Country,kawaii: (2016)
Chile,100
Mexico,69
Argentina,53
El Salvador,51
Guatemala,50
Costa Rica,45
Uruguay,43
Peru,42
Venezuela,39
Puerto Rico,37
Bolivia,36
Spain,32
Ecuador,32
Paraguay,30
Colombia,30
Honduras,30
Nicaragua,
Panama,29
Guam,
Brunei,
New Caledonia,
Réunion,
Philippines,19
French Polynesia,
France,17
Andorra,
Martinique,
United States,16
New Zealand,15
Dominican Republic,15
Maldives,
Malaysia,15
Canada,15
Cayman Islands,
Sweden,15
Australia,15
Finland,15
Italy,14
Norway,13
French Guiana,
Singapore,12
Guadeloupe,
Iceland,
Isle of Man,
Mongolia,
Brazil,11
Madagascar,
Denmark,10
Indonesia,10
Portugal,9
Cuba,
United Kingdom,9
Luxembourg,
Jersey,
Switzerland,8
Ireland,8
Trinidad & Tobago,
Hong Kong,8
Belgium,8
Netherlands,8
Estonia,
Poland,8
Malta,
Lithuania,
Thailand,7
Hungary,7
United Arab Emirates,6
Macao,
Bahamas,
Gabon,
Bahrain,
Germany,6
Mauritius,
Japan,6
Vietnam,6
Austria,6
Myanmar (Burma),
Laos,
Kuwait,
Czechia,6
Cambodia,
Latvia,
Qatar,
Romania,5
Bulgaria,
Croatia,
Algeria,4
Serbia,
Slovenia,
Tunisia,
North Macedonia,
Slovakia,
China,
Morocco,
Albania,
Greece,3
South Korea,3
Cyprus,
Lebanon,
Bosnia & Herzegovina,
Saudi Arabia,3
Montenegro,
Nepal,
Georgia,
Turkey,3
Jamaica,
Israel,
St. Helena,
Oman,
Kyrgyzstan,
Russia,2
South Africa,
Iraq,
Angola,
Bangladesh,
Kazakhstan,
Azerbaijan,
Kosovo,
Côte d’Ivoire,
Senegal,
Syria,
Jordan,
Moldova,
Taiwan,2
Libya,
Belarus,
Sri Lanka,
Cameroon,
Pakistan,
Palestine,
Armenia,
Ukraine,
Egypt,
India,1
Uzbekistan,
Iran,
Kenya,
Ghana,
Nigeria,
St. Pierre & Miquelon,
Micronesia,
Samoa,
Northern Mariana Islands,
Caribbean Netherlands,
Anguilla,
San Marino,
St. Martin,
Turks & Caicos Islands,
Seychelles,
Åland Islands,
Mayotte,
Guernsey,
Greenland,
Vanuatu,
Belize,
Equatorial Guinea,
U.S. Virgin Islands,
Faroe Islands,
British Virgin Islands,
Western Sahara,
Sint Maarten,
Bermuda,
Bhutan,
Gibraltar,
Chad,
St. Kitts & Nevis,
Barbados,
St. Vincent & Grenadines,
St. Lucia,
Djibouti,
Guyana,
St. Barthélemy,
Aruba,
Dominica,
Monaco,
Grenada,
Gambia,
Curaçao,
Antigua & Barbuda,
Cape Verde,
Timor-Leste,
Togo,
South Sudan,
Benin,
Fiji,
Niger,
Suriname,
Papua New Guinea,
Mali,
Namibia,
Botswana,
Congo - Brazzaville,
Zimbabwe,
Mozambique,
Guinea,
Malawi,
Turkmenistan,
Somalia,
Burkina Faso,
Rwanda,
Sudan,
Haiti,
Yemen,
Zambia,
Congo - Kinshasa,
Ethiopia,
Tanzania,
Afghanistan,
American Samoa,
Antarctica,
French Southern Territories,
Burundi,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Christmas Island,
Eritrea,
Falkland Islands (Islas Malvinas),
Guinea-Bissau,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
Liberia,
Liechtenstein,
Lesotho,
Marshall Islands,
Mauritania,
Montserrat,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
São Tomé & Príncipe,
Eswatini,
Tajikistan,
Tokelau,
Tonga,
Tuvalu,
Uganda,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
