Category: All categories

Country,ramen: (2008)
Dominica,100
Belgium,90
Northern Mariana Islands,71
Suriname,45
Grenada,41
Singapore,39
Netherlands,36
Belize,28
Guam,27
Aruba,27
Barbados,22
Cayman Islands,18
Réunion,16
Trinidad & Tobago,16
Martinique,15
United States,15
Mongolia,14
Myanmar (Burma),13
Brunei,12
Cameroon,11
Mauritius,10
Hong Kong,10
Nicaragua,10
Côte d’Ivoire,9
Albania,9
Philippines,9
Bahamas,9
Australia,8
Thailand,8
Macao,8
Malaysia,7
Canada,7
Sweden,7
South Korea,6
Ghana,6
Czechia,6
Indonesia,6
Iceland,6
Georgia,6
Uruguay,5
Kazakhstan,5
Honduras,5
Luxembourg,5
New Zealand,5
Senegal,5
France,5
Malta,5
Moldova,5
Costa Rica,5
Bolivia,5
Estonia,4
Switzerland,4
Paraguay,4
Mexico,4
Kuwait,4
Puerto Rico,4
Spain,4
Lebanon,4
Cyprus,4
Hungary,4
Chile,4
Germany,4
Jamaica,4
Bosnia & Herzegovina,3
United Kingdom,3
El Salvador,3
Italy,3
Norway,3
Ireland,3
Peru,3
Panama,3
Finland,3
Guatemala,3
Japan,3
Dominican Republic,3
Portugal,3
Nigeria,3
Poland,3
Syria,3
Austria,3
Ecuador,3
Algeria,2
Slovakia,2
Latvia,2
Colombia,2
Jordan,2
Bulgaria,2
South Africa,2
Venezuela,2
Denmark,2
Palestine,2
Taiwan,2
Greece,2
Slovenia,2
Israel,2
United Arab Emirates,2
India,2
Lithuania,1
Tunisia,1
Romania,1
Argentina,1
Serbia,1
Morocco,1
Turkey,1
Pakistan,1
Croatia,1
Brazil,1
Egypt,1
Vietnam,1
Russia,1
Ukraine,1
Saudi Arabia,<1
China,<1
Micronesia,
Congo - Kinshasa,
Greenland,
Gibraltar,
Mali,
Guadeloupe,
Mozambique,
Libya,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bangladesh,
Bahrain,
St. Barthélemy,
Belarus,
Bermuda,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Djibouti,
Eritrea,
Western Sahara,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Gabon,
Guernsey,
Guinea,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
French Guiana,
Guyana,
Heard & McDonald Islands,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iraq,
Jersey,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Laos,
Liberia,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
St. Martin,
Monaco,
Madagascar,
Maldives,
Marshall Islands,
North Macedonia,
Montenegro,
Mauritania,
Montserrat,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Niue,
Nepal,
Nauru,
Oman,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
French Polynesia,
Qatar,
Rwanda,
Sudan,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Eswatini,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
